概念名,标签,描述摘要,所属大类,建议分解方向,分解理由,是否为原子概念,建议新建父概念,处理优先级
多少,"社会, 数量",多少，数量之多寡，古代指数目或程度之问。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
夜_(概念),"时间, 夜",夜晚，古代休憩与隐秘活动之时,时间,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
夜袭,"军事, 战术",夜袭，乘夜色发动突袭的战术，为古代常用奇袭手段,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
夜遁,"军事, 战术, 退兵",趁夜色掩护撤退，为古代军事中在不利形势下利用夜幕脱离战场的常见战术。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
夜郎自大,"成语, 西南夷, 夜郎",夜郎侯自以为疆域广大、不知汉朝辽阔的典故，比喻人无知妄自尊大,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
大_(概念),"周, 战国, 概念, 大","大，大小之大，与""小""相对",年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
大丧,"礼制, 丧葬",帝王或父母之丧，亦泛指国家重大丧事。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
大中,"年号, 唐宣宗, 唐",唐宣宗李忱年号（847—860），共十四年，晚唐中兴。,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
大举,"军事, 战略, 征伐, 用兵",大规模兴兵征伐，为国家层面的重大军事行动。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
大义灭亲,"成语, 春秋, 汉, 晋, 南北朝",为了维护正义，不惜惩处自己的亲人,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
大体,"政治, 品德",大体，大要，顾全大局之道。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
大内,"宫禁, 制度",皇宫之内，指皇帝居所。,度量,度量·数量·基础,,,待定,中
大农,"制度, 官职",大农，大农令/大司农，古代掌管国家财政经济的官职。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
大功,政治,大功，巨大功勋，古代对重大功业或功臣之表彰。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
大匠,"概念, 官制, 汉代",大匠，即将作大匠之省称，汉代掌管宫室宗庙陵寝等土木营建的官职。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
大夏,"西域, 国家, 丝路",中亚古国（希腊化巴克特里亚），张骞在此见邛竹杖蜀布。,度量,度量·数量·基础,,,待定,中
大夫,"官制, 周代",周代贵族等级之一，位在卿之下士之上，有卿大夫、大夫等称。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
大姓,"社会, 制度",大姓，豪强大族，古代地方上拥有势力的大族，常与官府相抗衡,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
大宛,"西域, 国家, 丝路",中亚古国，以汗血马闻名，贰师将军李广利征大宛。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
大宴,"礼仪, 生活",盛大宴会，宫廷或上层社会的重要社交场合。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
大寒,"大寒, 气象, 灾异",古代记载的极寒天气。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
大将军,"官制, 秦汉",大将军，中国古代最高军事长官之一,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
大明,"年号, 宋孝武帝, 南北朝",宋孝武帝刘骏年号（457—464），共八年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
大朝,"礼仪, 宫禁",天子大会群臣的大朝会典礼。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
大理寺,"大理寺, 司法, 官署",唐代中央司法审判机构，掌审理重大案件。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
大索,制度,大索，大规模搜索或清查户口,度量,度量·数量·基础,,,待定,中
大营,"军事, 战术",军队主力驻扎之大本营。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
大蝗,"灾害, 农业, 蝗灾, 灾异",大规模蝗灾，古代严重的农业灾害之一，常导致饥荒与社会动荡。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
大运河,"隋朝, 隋炀帝, 水利工程, 通济渠, 交通",隋大业元年（605年），隋炀帝征发百万民夫开凿大运河，以洛阳为中心，连接南北。大运河成为隋唐时期最重要的交通命脉，但也因,器物,建议拆分为器物用具、建筑宫室、服饰衣冠三个独立父概念,三者的物质文化属性不同，合并不妥,否,建议拆分大类为多个独立父概念,高
大逆,"秦, 汉, 法律",大逆，严重叛逆罪，为不道之极,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
大逆不道,"成语, 西汉, 东汉, 法律, 罪名",极端叛逆，不合正道,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
大都督,"官制, 军职",大都督，魏晋南北朝时期的最高军事统帅称号。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
大酺,"礼制, 民俗",古代帝王赐臣民聚饮的庆典活动，多因喜庆之事而行,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
大阅,"军事, 礼仪, 制度",大阅，大规模检阅军队，为古代重要的军事礼仪活动,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
大雨,"大雨, 气象, 灾异",古代记载的暴雨天气现象。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
大雪,"大雪, 气象, 灾异",古代记载的暴雪天气现象。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
大雾,"大雾, 气象",古代记载的浓雾天气。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
大风,"灾害, 自然",狂风灾害，古代异常天象，常影响军事与朝政,天文,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
大食,"唐, 大食, 阿拉伯, 西域",唐代对阿拉伯帝国的称呼，即哈里发国家。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
大饥,"大饥, 灾异, 气象",古代严重的饥荒灾害。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
大驾,"礼制, 制度",大驾，皇帝出行规格,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
大鸿胪,官制,大鸿胪官职,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
天下,"政治, 哲学",天下，普天之下、国家、世界；天下为公乃王者之志，得天下在得民心。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
天下大乱,"成语, 东汉, 三国",天下局势动荡不安；出自东汉末年宦官乱政、黄巾起义、董卓乱政等,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
天下太平,"成语, 西汉, 三国, 东晋, 唐",社会安定、没有动乱,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
天下靡然,"成语, 唐",天下人纷纷仿效成风；出自武则天诛杀豪士、唐玄宗尚文华,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
天人,"哲学, 政治",天人，天道与人事，天人感应为汉代核心政治哲学思想。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
天人感应,"思想, 政治, 经学",天人相互感应的学说，认为天象灾异与人君政治得失密切相关,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
天变,"天变, 灾异, 天文",古代指天象变异，常被视为对执政者的警示。,天文,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
天命,"哲学, 政治",上天之命，古代君权神授思想核心。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
天地,"自然, 哲学",天地，天地宇宙的合称，中国古代哲学的基本范畴。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
天子,"政治, 称谓",天子，古代对帝王的尊称，谓其受天命而治天下。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
天子旌旗,"礼制, 仪仗",天子旌旗，天子所用的旌旗仪仗；梁孝王得赐天子旌旗为殊宠，曹操设天子旌旗为篡位之阶。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
天宝,"年号, 唐玄宗, 唐",唐玄宗李隆基第三个年号（742—756），共十五年，盛极而衰,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
天师,"宗教, 道教",道教中具有神权的称号，源自张道陵创立的天师道，后世帝王亦用以尊崇道教人物,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
天戒,"天戒, 灾异",古代指上天对人事的警戒警示。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
天无二日,"成语, 三国, 南北朝, 隋, 唐, 五代",天上没有两个太阳，比喻一国不能有两个君主；出自邓芝使吴、突厥上表、刘仁轨谏唐高宗等,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
天汉,"年号, 汉武帝, 西汉",汉武帝第八个年号（前100—前97），共四年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
天王,"称号, 礼制, 春秋, 十六国",天子或僭号者的尊称,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
天理,"思想, 政治",天理，天道自然之理，承天理物。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
天祐,"年号, 唐哀帝, 唐",唐哀帝李柷年号（904—907），共四年，唐朝终结,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
天竺,"天竺, 印度, 佛教, 西域",汉代至唐代对印度的称呼。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
天纪,"年号, 吴末帝, 吴",吴末帝孙皓最后一个年号（277—280），吴亡,时间,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
天谴,"灾异, 天人感应",古代指上天对人事过失的谴责惩罚，通鉴载王导苻生木杆突厥则天等天谴之事。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
天象,"天文, 星占",天体运行与呈现的宏观景象,天文,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
天道,"哲学, 思想",天之道，自然规律与人事之关系,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
太一,"宗教, 礼制",太一，天帝之神，汉代以降国家祭祀之最高神祇。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
太乐,"官制, 礼乐",太乐官署,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
太乐令,"职官, 乐制",太乐令，掌国家音乐事务，属太常，历代沿置。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太仆,官制,九卿之一，掌车马。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太初,"年号, 汉武帝, 西汉",汉武帝第七个年号（前104—前101），共四年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
太医令,职官,太医令，掌宫廷医疗,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太卜,"官职, 秦汉, 制度",太卜，古代掌占卜之官，为国家祭祀、征伐等重大事务决吉凶,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太和,"年号, 晋废帝, 东晋",晋废帝司马奕年号（366—371），共六年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
太始,"年号, 汉武帝, 西汉",汉武帝第九个年号（前96—前93），共四年,时间,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
太子少保,官制,太子少保，东宫三少之一，太子辅导官。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太子舍人,官制,太子舍人，东宫属官，掌宿卫。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太宁,"年号, 晋明帝, 东晋",晋明帝司马绍年号（323—326），共四年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
太守,"秦, 汉, 官制",太守，郡守，秦漢地方最高行政长官,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太安,"年号, 晋惠帝, 西晋",晋惠帝司马衷第三个年号（302—303），共二年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
太宗,"庙号, 帝王",太宗，古代帝王庙号之一，多为王朝第二代皇帝。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
太官令,"职官, 膳食",掌宫廷膳食及宴飨，属少府。,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太岁,"文化, 天文",太岁。太岁为古代纪年之神，行逆太岁为伐纣不忌之勇，太岁在午为革命之谶。,自然,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
太师,职官,三公之一，位在太傅之上。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太常卿,"官制, 礼乐",太常卿，九卿之一，掌宗庙礼仪。,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太平,"概念, 政治, 太平, 治世",天下太平、社会安定是历代治国者的最高理想。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
太府寺,"官职, 南北朝, 隋唐, 九寺",太府寺，北魏至隋唐中央机构，掌国家库藏、财货出纳、度量衡等事,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
太康,"年号, 晋武帝, 西晋",晋武帝司马炎第三个年号（280—289），共十年,年号,建议拆分为历法制度、年号序列、时间单位等子类,时间概念可按计时体系和纪年方式划分,否,,中
夫妇,"人伦, 社会",夫妻，配偶关系。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
夭折,"社会, 医学",夭折，未成年而死，亦泛指短命早逝,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
失,"哲学, 政治",失，失去、过失、失败；得道多助失道寡助，名分既失为乱世之由。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
失_(概念),"思想, 行为, 失, [[丧_(概念)|丧]]、[[败]]、[[误]]、[[得_(概念)|得]]",丧失、过失。失德为周道日衰之始，失人为辨才德之要。,哲学,保留为父概念，分解为哲学范畴、思想流派、宗教信仰、典籍学术等子类,哲学思想有清晰的内部分野,否,,中
失之东隅,"成语, 东汉, 光武帝, 冯异",比喻开始时虽有所失，后来终有所得，出自刘秀慰冯异诏书,成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
头_(概念),"人体, 头",头部，身体最重要部位，军功计量,人体,建议拆分为天文气象、地理山川、动物、植物、人体生理五个独立父概念,自然领域跨度过大，需按学科分野拆解,否,建议拆分大类为多个独立父概念,高
头目,"军事, 社会",首领、头领；亦指头部和眼睛,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
夷,"民族, 政治",夷，东夷、夷狄；夷夏之辨为春秋大义，以夷制夷为驭边之策。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
夷_(概念),"民族, 四夷, 夷",东方部族泛称,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
夷三族,"刑罚, 制度",夷三族，诛灭父族母族妻族之极刑；通鉴记李斯被赵高诬陷夷三族，曹操杀董承夷三族。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
夷族,"刑罚, 制度",夷族，诛灭全族之极刑；通鉴记赵高因私怨诛杀人众多，亦记有敢舍匿季布者罪三族。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
夷狄,"夷狄, 民族, 四夷",古代对东方和北方少数民族的泛称，常统指四夷。,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
夺气,"军事, 心理, 战术",挫伤敌军锐气使其丧失斗志，为古代军事心理战的重要目标。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
奄蔡,"西域, 国家, 丝路",中亚游牧古国，里海沿岸，汉通西域所及最西诸国之一。,度量,度量·数量·基础,,,待定,中
奇,"思想, 军事",奇，奇特、奇异、奇计；出奇计强秦为招贤之令，奇法章状貌为非常之相。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
奇_(概念),"思想, 军事, 奇, [[异_(概念)|异]]、[[殊]]、[[特]]、[[诡]]",奇异、出奇。出奇计为强国之谋，奇兵为制胜之策，奇货可居为商贾之眼。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
奇伟,"人物, 品评",奇崛壮伟，形容人物或事物不凡。,情感,保留为父概念，分解为基本情感、心理状态、品评用语等子类,情感心理学有独立概念体系,否,,中
奇计,"概念, 军事, 谋略",奇计，出人意料的巧妙计谋，古代用兵中克敌制胜的非常之策。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
奇谋,"概念, 军事, 谋略",奇谋，出奇制胜的谋略，古代军事政治中以非常规手段达成目标的策略。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
奇货可居,"成语, 吕不韦","吕不韦以流亡秦公子异人为""奇货""而投资囤积的典故，比喻挟持某种事物作为资本以谋取利益",成语,已为最小语义单元，无需分解,成语典故已为固定表达，关联源出即可,是,,低
奉常,职官,秦代九卿之一，掌宗庙礼仪,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
奉朝请,"官制, 制度, 汉代",奉朝请，古代退职大臣或宗室外戚定期朝见皇帝的礼仪，亦为无实际职掌的加官,官制,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
奉玺,"概念, 礼仪, 制度",奉玺，奉上皇帝印玺，古代禅让或投降的仪式中交出政权的象征性行为。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
奉表,"概念, 邦交, 文书",奉表，奉上表章，古代臣子或藩国向皇帝呈送奏表的外交礼仪行为。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
奉觞,"礼仪, 文化",奉觞，捧杯敬酒，古代指臣下向君主或尊者进酒祝寿。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
奉诏,"制度, 礼仪",接受皇帝诏命，臣子对诏令的遵从。,礼制,保留为父概念，按吉凶军宾嘉五礼分解,《周礼》五礼已有成熟分类,否,,中
奉贡,"概念, 邦交, 朝贡",奉贡，进献贡品，古代藩属国向中央王朝进贡方物的朝贡礼仪。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
奋击,"军事, 兵种, 军制, 战国",古代精锐步兵的称谓，指奋勇作战的突击部队。通鉴中奋击为战国时大国军队的重要兵种。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
奋威,职官,奋威将军，取奋扬武威之意,官职,建议拆分为官制体系、具体官职、爵位勋阶三个独立父概念,职官是制度性概念，应按行政层级和职能体系组织,否,建议拆分大类为多个独立父概念,高
奎_(概念),,奎宿，二十八宿之一，为西方白虎七宿之第一宿,度量,度量·数量·基础,,,待定,中
奏,"文化, 制度",奏事。奏事为赵高蒙蔽二世之策，奏当为赵高构陷李斯之狱，百官奏事如故为始皇秘不发丧之诈。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
奏_(概念),"制度, 文化, 奏, [[疏]] | [[表]] | [[章]] | [[文书]] | [[制度]]",古代臣子向帝王进言陈事的文书,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
奏事,"制度, 政治",奏事，向君主奏报政事，古代指臣下向皇帝报告政务。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
奏凯,"文化, 礼制, 军事",奏凯乐，战胜后献俘太庙之礼，通鉴载周武帝、李勣奏凯之事。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
奏劾,"制度, 法律, 官制",上奏弹劾，臣僚向皇帝举奏弹劾他人罪状,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
奏当,"刑罚, 制度",奏当，审判后上奏判决意见；通鉴记李斯辞服奏当上二世喜，张释之奏当犯跸者当罚金，张汤奏当颜异腹诽论死。,法律,保留为父概念，分解为罪名、刑罚、司法程序、刑律制度等子类,法律概念可分实体法与程序法,否,,中
奏报,"政治, 制度",奏报，臣下向朝廷奏事上报之公文或程序。,政治,保留为顶层父概念，分解为治国方略、君臣之道、谏诤制度、文书政令等子类,政治概念覆盖政策、制度、君臣关系等多个维度,否,,中
契_(概念),"文书, 制度, 契, [[券_(概念)|券]] | [[符_(概念)|符]] | [[节_(概念)|节]] | [[印_(概念)|印]] | [[信_(概念)|信]]",契约、符契，古代凭证信物。,典籍,建议并入政治或作为独立父概念,文书典籍是行政和学术的载体,否,建议确认「文书·典籍」是否作为新的独立父概念,中
契苾,民族部落,铁勒部落，契苾何力所出,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
奔亡,"行为, 军事",奔走出逃，仓皇逃亡。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
奔命,"军事, 战术, 兵制",紧急调发的军队或奔赴急难的作战行动，为古代军事中快速反应的重要方式。,军事,保留为顶层父概念，分解为兵制、战术、兵器、后勤、边防等子类,军事概念需按组织、作战、装备、后勤四分,否,,中
奕_(概念),"游戏, 奕",弈棋对弈,社会,保留为父概念，分解为社会阶层、亲属称谓、民族部落、家庭关系等子类,社会概念覆盖群体、身份、关系等多维,否,,中
奢,"道德, 品性",奢，奢侈、奢华；顾益奢为公仲谏韩宣惠王恤民之言，示之以侈为司马光论创业垂统之戒。,道德,保留为顶层父概念，下设德目子概念,伦理道德有层级：伦理→德目→具体品德表现,否,,中
